Date,Open,High,Low,Close
9/18/19,0.048949,0.054921,0.048866,0.053292
9/19/19,0.053296,0.054614,0.049907,0.052504
9/20/19,0.052491,0.052557,0.05052,0.05234
9/21/19,0.052335,0.053348,0.051348,0.051922
9/22/19,0.051894,0.051954,0.047857,0.049111
9/23/19,0.049045,0.049555,0.046264,0.046264
9/24/19,0.046259,0.046666,0.036023,0.037573
9/25/19,0.03761,0.040334,0.036352,0.039396
9/26/19,0.039412,0.040287,0.035643,0.038229
9/27/19,0.03823,0.039924,0.037209,0.039532
9/28/19,0.03951,0.039766,0.038445,0.038827
9/29/19,0.038828,0.038917,0.036642,0.037486
9/30/19,0.037474,0.039287,0.036422,0.038885
10/1/19,0.038886,0.039958,0.038396,0.038507
10/2/19,0.038507,0.039516,0.037868,0.039445
10/3/19,0.0394,0.039728,0.037876,0.038361
10/4/19,0.038362,0.040385,0.037912,0.039667
10/5/19,0.039655,0.039993,0.038844,0.03973
10/6/19,0.039713,0.040323,0.038851,0.039324
10/7/19,0.039305,0.041898,0.03863,0.041672
10/8/19,0.041676,0.04218,0.040505,0.041441
10/9/19,0.041442,0.043313,0.040972,0.042629
10/10/19,0.042629,0.042641,0.040856,0.041661
10/11/19,0.041701,0.042165,0.040562,0.040623
10/12/19,0.04054,0.041236,0.040482,0.040542
10/13/19,0.04054,0.041801,0.040512,0.041325
10/14/19,0.041325,0.042162,0.04111,0.041789
10/15/19,0.041796,0.041948,0.039367,0.039766
10/16/19,0.03976,0.039952,0.037804,0.038741
10/17/19,0.038726,0.039533,0.038169,0.039524
10/18/19,0.039527,0.039594,0.037591,0.038073
10/19/19,0.038079,0.039672,0.037832,0.039225
10/20/19,0.039217,0.039619,0.038443,0.039529
10/21/19,0.039543,0.039559,0.038694,0.03928
10/22/19,0.039271,0.040109,0.03881,0.038816
10/23/19,0.03882,0.038979,0.035786,0.036409
10/24/19,0.036409,0.038109,0.036203,0.037685
10/25/19,0.037678,0.041799,0.037581,0.041246
10/26/19,0.04122,0.043177,0.039668,0.040547
10/27/19,0.040537,0.042985,0.039637,0.042335
10/28/19,0.042315,0.044553,0.042051,0.042363
10/29/19,0.042328,0.043819,0.042259,0.043444
10/30/19,0.043428,0.044337,0.041334,0.041967
10/31/19,0.041963,0.042792,0.040456,0.041636
11/1/19,0.041645,0.042858,0.04124,0.042345
11/2/19,0.042336,0.042745,0.042069,0.042599
11/3/19,0.042581,0.042684,0.041358,0.04193
11/4/19,0.041889,0.043257,0.041607,0.043236
11/5/19,0.043261,0.044928,0.043232,0.044328
11/6/19,0.044301,0.046105,0.043826,0.044956
11/7/19,0.044928,0.045018,0.042724,0.043637
11/8/19,0.043644,0.043837,0.04138,0.042297
11/9/19,0.042298,0.042755,0.042139,0.042445
11/10/19,0.042438,0.044227,0.042388,0.043958
11/11/19,0.043971,0.044122,0.042499,0.043194
11/12/19,0.043257,0.044631,0.043227,0.043767
11/13/19,0.043722,0.044044,0.04332,0.043492
11/14/19,0.043489,0.04355,0.042399,0.043119
11/15/19,0.04313,0.044432,0.042329,0.043974
11/16/19,0.043978,0.044655,0.043511,0.044172
11/17/19,0.044153,0.046423,0.04367,0.045421
11/18/19,0.045403,0.046652,0.043543,0.043802
11/19/19,0.043697,0.044451,0.041383,0.042542
11/20/19,0.042588,0.042794,0.040809,0.041178
11/21/19,0.041169,0.041249,0.037727,0.038406
11/22/19,0.038447,0.038685,0.034611,0.037148
11/23/19,0.037159,0.038423,0.036701,0.038343
11/24/19,0.038371,0.038916,0.035556,0.035588
11/25/19,0.035543,0.037184,0.033336,0.036048
11/26/19,0.036046,0.037074,0.035705,0.036993
11/27/19,0.036955,0.0398,0.035783,0.039049
11/28/19,0.039129,0.03999,0.038641,0.03919
11/29/19,0.039227,0.04204,0.039194,0.041423
11/30/19,0.041416,0.042268,0.040068,0.040425
12/1/19,0.040426,0.040426,0.038467,0.039587
12/2/19,0.039612,0.039769,0.03758,0.038056
12/3/19,0.038047,0.038761,0.037226,0.037917
12/4/19,0.037906,0.038533,0.03655,0.037405
12/5/19,0.037402,0.038979,0.036969,0.037871
12/6/19,0.037879,0.038323,0.037478,0.038317
12/7/19,0.038312,0.039249,0.038195,0.038757
12/8/19,0.038753,0.039241,0.038386,0.038948
12/9/19,0.038932,0.038974,0.037422,0.037483
12/10/19,0.037474,0.037556,0.036295,0.036606
12/11/19,0.036602,0.037326,0.036322,0.036655
12/12/19,0.036652,0.036931,0.036249,0.036723
12/13/19,0.036719,0.037372,0.036628,0.037108
12/14/19,0.03716,0.037527,0.036087,0.036427
12/15/19,0.036449,0.036803,0.034808,0.036653
12/16/19,0.036662,0.036716,0.033589,0.034269
12/17/19,0.034269,0.034285,0.031296,0.0318
12/18/19,0.031794,0.034662,0.030885,0.034462
12/19/19,0.034456,0.034793,0.033067,0.033251
12/20/19,0.033264,0.034009,0.032871,0.034004
12/21/19,0.034,0.034074,0.03294,0.033262
12/22/19,0.033265,0.034495,0.033212,0.034466
12/23/19,0.034441,0.034584,0.03316,0.0332
12/24/19,0.033195,0.03505,0.032905,0.034162
12/25/19,0.034185,0.034409,0.033251,0.033728
12/26/19,0.033745,0.034768,0.033544,0.034281
12/27/19,0.034279,0.034427,0.032226,0.0331
12/28/19,0.033095,0.034211,0.033079,0.033632
12/29/19,0.033637,0.03469,0.03339,0.034284
12/30/19,0.034278,0.034595,0.033493,0.033594
12/31/19,0.033607,0.033898,0.032794,0.032845
1/1/20,0.032832,0.033813,0.032704,0.033458
1/2/20,0.033474,0.033507,0.032448,0.032751
1/3/20,0.032748,0.034427,0.032491,0.03418
1/4/20,0.034191,0.034685,0.033872,0.034595
1/5/20,0.034574,0.035356,0.034545,0.034721
1/6/20,0.034751,0.037299,0.034674,0.037272
1/7/20,0.037291,0.037807,0.036653,0.037047
1/8/20,0.037055,0.038551,0.036015,0.036435
1/9/20,0.036445,0.036445,0.035673,0.036359
1/10/20,0.036335,0.03698,0.034807,0.036874
