Date,Open,High,Low,Close
9/18/19,208.050598,216.711502,208.050598,211.393036
9/19/19,211.247238,222.871689,204.685776,221.280853
9/20/19,221.069626,221.598557,215.159637,218.050049
9/21/19,217.897385,220.958298,215.000168,215.516205
9/22/19,215.486557,216.086243,207.644928,211.54538
9/23/19,211.713211,211.840515,201.887238,201.92131
9/24/19,201.842087,203.500549,162.727783,168.110733
9/25/19,168.133575,174.719772,164.913483,170.8927
9/26/19,170.756912,171.692642,157.130325,166.727127
9/27/19,166.651703,175.610779,163.209503,174.710999
9/28/19,174.680832,175.778732,170.773956,174.572891
9/29/19,174.612747,175.21022,166.997696,170.503479
9/30/19,170.461349,179.872208,167.036606,179.872208
10/1/19,180.209122,185.045532,175.812653,177.340424
10/2/19,177.22406,180.826126,175.334274,180.71051
10/3/19,180.703705,180.79921,172.599869,175.199341
10/4/19,175.238434,178.552078,173.564087,176.985001
10/5/19,176.94632,177.713242,173.069565,176.351517
10/6/19,176.36438,177.364548,171.299774,173.059143
10/7/19,172.940338,182.356354,171.527817,181.18634
10/8/19,181.113358,184.35997,179.133392,182.021561
10/9/19,182.036301,194.300491,180.668442,193.293259
10/10/19,193.191071,193.896927,188.306473,191.659668
10/11/19,191.801071,195.318802,181.661835,182.569687
10/12/19,182.534027,186.304886,179.984833,180.826645
10/13/19,180.861313,185.075912,180.317154,182.07515
10/14/19,182.028473,187.303619,181.662277,186.960907
10/15/19,186.977051,187.759872,179.462784,181.406067
10/16/19,181.343735,181.66861,174.064163,176.013504
10/17/19,175.906891,178.899551,174.565826,178.028351
10/18/19,177.988556,178.179794,171.005051,173.621338
10/19/19,173.649445,175.608231,172.215454,172.913025
10/20/19,172.974762,176.718689,171.210724,175.534378
10/21/19,175.52475,177.74173,173.28775,174.92099
10/22/19,174.90506,175.650024,172.266235,172.300858
10/23/19,172.262802,172.420578,157.463425,162.402786
10/24/19,162.514114,164.147568,160.887955,162.168549
10/25/19,162.189713,183.000122,161.966019,181.523209
10/26/19,181.667068,195.942505,176.133804,179.83548
10/27/19,179.932632,188.155334,177.682358,184.242218
10/28/19,184.397507,187.883163,180.249557,182.662811
10/29/19,182.67038,191.846756,182.364365,190.342575
10/30/19,190.336395,191.111938,181.546371,184.692169
10/31/19,184.797623,188.751266,180.068359,183.966919
11/1/19,183.803696,185.059708,181.094498,183.969894
11/2/19,184.018158,185.708954,182.797668,183.92572
11/3/19,183.994827,185.024216,179.818146,182.425018
11/4/19,182.319031,188.022934,181.821609,186.355194
11/5/19,186.309311,191.257828,184.331985,189.304169
11/6/19,189.113495,193.547256,188.667679,191.593842
11/7/19,191.504303,191.861099,186.567001,187.976547
11/8/19,187.924271,188.815979,182.541367,184.211472
11/9/19,184.311722,185.838531,183.902237,185.028717
11/10/19,184.943359,190.920609,184.686783,189.47728
11/11/19,189.50293,190.338425,185.086319,185.489639
11/12/19,185.564835,187.948029,184.191055,186.843414
11/13/19,186.942444,189.331879,185.937943,188.258743
11/14/19,188.272507,188.634598,184.992294,185.999634
11/15/19,186.058167,186.251831,179.379562,180.521179
11/16/19,180.4991,184.155273,179.985672,183.348358
11/17/19,183.35083,188.191345,182.336807,185.119232
11/18/19,185.041458,186.927155,179.175507,180.559601
11/19/19,180.502457,182.528,175.197113,177.455551
11/20/19,177.415283,178.993149,175.290436,175.698349
11/21/19,175.673599,176.209213,159.365128,161.462723
11/22/19,161.50589,163.028091,142.344101,150.268173
11/23/19,150.212219,154.101563,147.601242,153.417786
11/24/19,153.430527,153.965912,142.834702,142.834702
11/25/19,142.697006,150.207962,133.802338,146.476532
11/26/19,146.404312,150.004761,145.216873,148.965073
11/27/19,148.39682,154.887207,143.525604,153.010559
11/28/19,153.069244,156.613586,151.091125,151.717575
11/29/19,151.7686,156.848404,151.460434,155.304153
11/30/19,155.286407,156.691299,151.225342,152.539688
