Date,Open,High,Low,Close
2019-09-18,1.3741,1.377,1.3722,1.376
2019-09-19,1.3762,1.3796,1.3754,1.3783
2019-09-20,1.3786,1.3793,1.3738,1.3769
2019-09-21,1.3786,1.3793,1.3738,1.3769
2019-09-22,1.3786,1.3793,1.3738,1.3769
2019-09-23,1.377,1.3793,1.3754,1.3775
2019-09-24,1.3777,1.3787,1.3748,1.3754
2019-09-25,1.376,1.3798,1.375,1.3786
2019-09-26,1.3788,1.3826,1.3779,1.3819
2019-09-27,1.3822,1.3833,1.3796,1.3811
2019-09-28,1.3822,1.3833,1.3796,1.3811
2019-09-29,1.3822,1.3833,1.3796,1.3811
2019-09-30,1.3816,1.3837,1.3806,1.3818
2019-10-01,1.3819,1.388,1.3812,1.3849
2019-10-02,1.3851,1.3869,1.3838,1.3839
2019-10-03,1.3842,1.3849,1.3783,1.3807
2019-10-04,1.3809,1.3812,1.3775,1.3783
2019-10-05,1.3809,1.3812,1.3775,1.3783
2019-10-06,1.3809,1.3812,1.3775,1.3783
2019-10-07,1.3786,1.3827,1.3786,1.3808
2019-10-08,1.3813,1.38271,1.3782,1.3809
2019-10-09,1.3826,1.383,1.379,1.3805
2019-10-10,1.3812,1.38168,1.3751,1.38156
2019-10-11,1.3748,1.37538,1.3709,1.375
2019-10-12,1.3748,1.37538,1.3709,1.375
2019-10-13,1.3748,1.37538,1.3709,1.375
2019-10-14,1.37269,1.37269,1.3677,1.3718
2019-10-15,1.3691,1.37161,1.3678,1.36896
2019-10-16,1.3705,1.37314,1.3702,1.37113
2019-10-17,1.37069,1.37069,1.3633,1.37073
2019-10-18,1.36494,1.36595,1.3634,1.36471
2019-10-19,1.36494,1.36595,1.3634,1.36471
2019-10-20,1.36494,1.36595,1.3634,1.36471
2019-10-21,1.3634,1.36389,1.3599,1.3635
2019-10-22,1.36113,1.36269,1.3597,1.36118
2019-10-23,1.3628,1.36439,1.3622,1.3624
2019-10-24,1.36221,1.36397,1.3605,1.3618
2019-10-25,1.36364,1.36406,1.362,1.36364
2019-10-26,1.36364,1.36406,1.362,1.36364
2019-10-27,1.36364,1.36406,1.362,1.36364
2019-10-28,1.3628,1.36337,1.3613,1.36314
2019-10-29,1.36228,1.36374,1.3612,1.36218
2019-10-30,1.3619,1.36343,1.3615,1.362
2019-10-31,1.36121,1.36255,1.3595,1.3607
2019-11-01,1.36057,1.36107,1.3561,1.36061
2019-11-02,1.36057,1.36107,1.3561,1.36061
2019-11-03,1.36057,1.36107,1.3561,1.36061
2019-11-04,1.3566,1.35802,1.3556,1.3567
2019-11-05,1.35834,1.3593,1.3554,1.3578
2019-11-06,1.35852,1.3604,1.3571,1.35822
2019-11-07,1.3599,1.36065,1.3557,1.36035
2019-11-08,1.35731,1.36046,1.3565,1.35733
2019-11-09,1.35731,1.36046,1.3565,1.35733
2019-11-10,1.35731,1.36046,1.3565,1.35733
2019-11-11,1.35978,1.36189,1.3592,1.35991
2019-11-12,1.36039,1.36246,1.3593,1.36033
2019-11-13,1.36246,1.36318,1.3614,1.36243
2019-11-14,1.36235,1.36349,1.3617,1.36219
2019-11-15,1.36166,1.36227,1.3596,1.36166
2019-11-16,1.36166,1.36227,1.3596,1.36166
2019-11-17,1.36166,1.36227,1.3596,1.36166
2019-11-18,1.36016,1.36145,1.359,1.36012
2019-11-19,1.36014,1.36144,1.3595,1.36
2019-11-20,1.36128,1.3619,1.3602,1.36124
2019-11-21,1.36195,1.36277,1.3606,1.36201
2019-11-22,1.36285,1.36446,1.36112,1.3624
2019-11-23,1.36285,1.36446,1.36112,1.3624
2019-11-24,1.36285,1.36446,1.36112,1.3624
2019-11-25,1.3637,1.36564,1.3631,1.36419
2019-11-26,1.3644,1.36668,1.364,1.36481
2019-11-27,1.36452,1.36644,1.364,1.3645
2019-11-28,1.3652,1.36639,1.36498,1.36579
2019-11-29,1.36557,1.36758,1.3651,1.36556
2019-11-30,1.36557,1.36758,1.3651,1.36556
2019-12-01,1.36557,1.36758,1.3651,1.36556
