Date,Open,High,Low,Close
2019-09-18,7.0896,7.0925,7.0837,7.0849
2019-09-19,7.086,7.1056,7.086,7.0959
2019-09-20,7.0966,7.0981,7.0816,7.0909
2019-09-21,7.0966,7.0981,7.0816,7.0909
2019-09-22,7.0966,7.0981,7.0816,7.0909
2019-09-23,7.0916,7.129,7.0916,7.1168
2019-09-24,7.118,7.1224,7.1023,7.1138
2019-09-25,7.1164,7.1353,7.108,7.1313
2019-09-26,7.1273,7.1388,7.1227,7.13
2019-09-27,7.1326,7.1386,7.1191,7.1218
2019-09-28,7.1326,7.1386,7.1191,7.1218
2019-09-29,7.1326,7.1386,7.1191,7.1218
2019-09-30,7.1315,7.1484,7.1179,7.1477
2019-10-01,7.1484,7.1484,7.1484,7.1484
2019-10-02,7.1484,7.1484,7.1484,7.1484
2019-10-03,7.1484,7.1484,7.1484,7.1484
2019-10-04,7.1484,7.1484,7.1484,7.1484
2019-10-05,7.1484,7.1484,7.1484,7.1484
2019-10-06,7.1484,7.1484,7.1484,7.1484
2019-10-07,7.1484,7.1484,7.1484,7.1484
2019-10-08,7.1475,7.1523,7.1148,7.1474
2019-10-09,7.1444,7.1529,7.1205,7.1316
2019-10-10,7.1314,7.1314,7.0935,7.1314
2019-10-11,7.1154,7.1155,7.0837,7.1155
2019-10-12,7.1154,7.1155,7.0837,7.1155
2019-10-13,7.1154,7.1155,7.0837,7.1155
2019-10-14,7.087,7.0874,7.0498,7.0872
2019-10-15,7.0666,7.0823,7.0584,7.0666
2019-10-16,7.0718,7.1019,7.0718,7.0808
2019-10-17,7.0926,7.0998,7.0645,7.0927
2019-10-18,7.0674,7.0866,7.0633,7.0764
2019-10-19,7.0674,7.0866,7.0633,7.0764
2019-10-20,7.0674,7.0866,7.0633,7.0764
2019-10-21,7.0808,7.0829,7.0631,7.0807
2019-10-22,7.0663,7.0819,7.0658,7.0663
2019-10-23,7.0761,7.0851,7.0605,7.0762
2019-10-24,7.0556,7.0721,7.0524,7.0646
2019-10-25,7.068,7.0748,7.0583,7.0681
2019-10-26,7.068,7.0748,7.0583,7.0681
2019-10-27,7.068,7.0748,7.0583,7.0681
2019-10-28,7.0647,7.068,7.0552,7.0647
2019-10-29,7.0669,7.0669,7.0472,7.0669
2019-10-30,7.0649,7.0658,7.0449,7.0649
2019-10-31,7.0544,7.0551,7.0295,7.0544
2019-11-01,7.0382,7.045,7.0289,7.0382
2019-11-02,7.0382,7.045,7.0289,7.0382
2019-11-03,7.0382,7.045,7.0289,7.0382
2019-11-04,7.0364,7.0365,7.016,7.0364
2019-11-05,7.0294,7.0294,6.9801,7.0294
2019-11-06,7.0088,7.0141,6.9826,7.0088
2019-11-07,6.9972,7.0191,6.963,6.9972
2019-11-08,6.9703,7.0006,6.9682,6.9954
2019-11-09,6.9703,7.0006,6.9682,6.9954
2019-11-10,6.9703,7.0006,6.9682,6.9954
2019-11-11,6.9948,7.0105,6.9861,6.995
2019-11-12,7.0096,7.0096,6.9938,7.0096
2019-11-13,7.0068,7.0226,7.0068,7.0068
2019-11-14,7.0226,7.0228,7.0118,7.0226
2019-11-15,7.0198,7.0273,6.9933,7.0198
2019-11-16,7.0198,7.0273,6.9933,7.0198
2019-11-17,7.0198,7.0273,6.9933,7.0198
2019-11-18,7.0074,7.0272,7.0022,7.0073
2019-11-19,7.025,7.0277,7.0156,7.025
2019-11-20,7.0268,7.0369,7.0196,7.0268
2019-11-21,7.035,7.0437,7.0183,7.035
2019-11-22,7.0282,7.0412,7.0244,7.0282
2019-11-23,7.0282,7.0412,7.0244,7.0282
2019-11-24,7.0282,7.0412,7.0244,7.0282
2019-11-25,7.0383,7.0386,7.0236,7.0383
2019-11-26,7.0355,7.0406,7.0226,7.0355
2019-11-27,7.0325,7.0326,7.0143,7.0325
2019-11-28,7.0279,7.0346,7.0179,7.0279
2019-11-29,7.0344,7.0344,7.0181,7.0344
2019-11-30,7.0344,7.0344,7.0181,7.0344
2019-12-01,7.0344,7.0344,7.0181,7.0344
2019-12-02,7.0315,7.0435,7.0259,7.0315
2019-12-03,7.0383,7.0614,7.035,7.0383
2019-12-04,7.0602,7.0727,7.0452,7.0602
2019-12-05,7.0489,7.0557,7.0387,7.0489
2019-12-06,7.0438,7.0439,7.0216,7.0438
2019-12-07,7.0438,7.0439,7.0216,7.0438
2019-12-08,7.0438,7.0439,7.0216,7.0438
2019-12-09,7.0343,7.0423,7.0299,7.0343
2019-12-10,7.0382,7.0402,7.0283,7.0382
2019-12-11,7.0333,7.0397,7.0284,7.0333
2019-12-12,7.0378,7.0379,7.0194,7.0378
2019-12-13,7.0195,7.0195,6.9601,7.0195
2019-12-14,7.0195,7.0195,6.9601,7.0195
2019-12-15,7.0195,7.0195,6.9601,7.0195
2019-12-16,6.9719,6.9942,6.9717,6.9719
2019-12-17,6.9816,7.0018,6.9816,6.9816
2019-12-18,6.9962,7.0072,6.9923,6.9962
2019-12-19,7.004,7.0095,6.9906,7.004
2019-12-20,7.0094,7.0148,6.9957,7.0094
2019-12-21,7.0094,7.0148,6.9957,7.0094
2019-12-22,7.0094,7.0148,6.9957,7.0094
2019-12-23,7.0057,7.013,7.0014,7.0057
2019-12-24,7.0118,7.0131,6.9967,7.0118
2019-12-25,7.0064,7.0071,6.9815,7.0064
2019-12-26,6.9883,7.0018,6.9854,6.9883
2019-12-27,6.9963,7.0001,6.9886,6.9963
2019-12-28,6.9963,7.0001,6.9886,6.9963
2019-12-29,6.9963,7.0001,6.9886,6.9963
2019-12-30,6.9948,6.9948,6.9768,6.9948
2019-12-31,6.9857,6.9859,6.9575,6.9857
2020-01-01,6.9623,6.9623,6.9622,6.9623
2020-01-02,6.9622,6.973,6.9598,6.9622
2020-01-03,6.9634,6.9744,6.9591,6.9634
2020-01-04,6.9634,6.9744,6.9591,6.9634
