Date,Open,High,Low,Close
9/18/19,1817.040039,1822.060059,1795.5,1817.459961
9/19/19,1821.02002,1832.569946,1817.900024,1821.5
9/20/19,1821.709961,1830.630005,1780.920044,1794.160034
9/21/19,1821.709961,1830.630005,1780.920044,1794.160034
9/22/19,1821.709961,1830.630005,1780.920044,1794.160034
9/23/19,1777,1792.699951,1767.319946,1785.300049
9/24/19,1790.609985,1795.709961,1735.550049,1741.609985
9/25/19,1747.359985,1773,1723,1768.329956
9/26/19,1762.790039,1763.369995,1731.5,1739.839966
9/27/19,1748,1749.119995,1713.819946,1725.449951
9/28/19,1748,1749.119995,1713.819946,1725.449951
9/29/19,1748,1749.119995,1713.819946,1725.449951
9/30/19,1726.98999,1737.459961,1709.219971,1735.910034
10/1/19,1746,1755.599976,1728.410034,1735.650024
10/2/19,1727.73999,1728.890015,1705,1713.22998
10/3/19,1713,1725,1685.060059,1724.420044
10/4/19,1726.02002,1740.579956,1719.22998,1739.650024
10/5/19,1726.02002,1740.579956,1719.22998,1739.650024
10/6/19,1726.02002,1740.579956,1719.22998,1739.650024
10/7/19,1731.630005,1747.829956,1723.699951,1732.660034
10/8/19,1722.48999,1727,1705,1705.51001
10/9/19,1719.609985,1729.949951,1714.359985,1721.98999
10/10/19,1725.23999,1738.290039,1713.75,1720.26001
10/11/19,1742.920044,1745.449951,1729.859985,1731.920044
10/12/19,1742.920044,1745.449951,1729.859985,1731.920044
10/13/19,1742.920044,1745.449951,1729.859985,1731.920044
10/14/19,1728.910034,1741.890015,1722,1736.430054
10/15/19,1742.140015,1776.449951,1740.619995,1767.380005
10/16/19,1773.329956,1786.23999,1770.52002,1777.430054
10/17/19,1796.48999,1798.849976,1782.02002,1787.47998
10/18/19,1787.800049,1793.97998,1749.199951,1757.51001
10/19/19,1787.800049,1793.97998,1749.199951,1757.51001
10/20/19,1787.800049,1793.97998,1749.199951,1757.51001
10/21/19,1769.660034,1785.880005,1765,1785.660034
10/22/19,1788.150024,1789.780029,1762,1765.72998
10/23/19,1761.300049,1770.050049,1742,1762.170044
10/24/19,1771.089966,1788.339966,1760.27002,1780.780029
10/25/19,1697.550049,1764.209961,1695,1761.329956
10/26/19,1697.550049,1764.209961,1695,1761.329956
10/27/19,1697.550049,1764.209961,1695,1761.329956
10/28/19,1748.060059,1778.699951,1742.5,1777.079956
10/29/19,1774.810059,1777,1755.810059,1762.709961
10/30/19,1760.23999,1782.380005,1759.119995,1779.98999
10/31/19,1775.98999,1792,1771.47998,1776.660034
11/1/19,1788.01001,1797.449951,1785.209961,1791.439941
11/2/19,1788.01001,1797.449951,1785.209961,1791.439941
11/3/19,1788.01001,1797.449951,1785.209961,1791.439941
11/4/19,1801.01001,1815.060059,1801.01001,1804.660034
11/5/19,1809.160034,1810.25,1794,1801.709961
11/6/19,1801,1802.5,1788.579956,1795.77002
11/7/19,1803.76001,1805.900024,1783.47998,1788.199951
11/8/19,1787.890015,1789.880005,1774.040039,1785.880005
11/9/19,1787.890015,1789.880005,1774.040039,1785.880005
11/10/19,1787.890015,1789.880005,1774.040039,1785.880005
11/11/19,1778,1780,1767.130005,1771.650024
11/12/19,1774.660034,1786.219971,1771.910034,1778
11/13/19,1773.390015,1775,1747.319946,1753.109985
11/14/19,1751.430054,1766.589966,1749.560059,1754.599976
11/15/19,1760.050049,1761.680054,1732.859985,1739.48999
11/16/19,1760.050049,1761.680054,1732.859985,1739.48999
11/17/19,1760.050049,1761.680054,1732.859985,1739.48999
11/18/19,1738.300049,1753.699951,1722.709961,1752.530029
11/19/19,1756.98999,1760.680054,1743.030029,1752.790039
11/20/19,1749.140015,1762.52002,1734.119995,1745.530029
11/21/19,1743,1746.869995,1730.359985,1734.709961
11/22/19,1739.02002,1746.430054,1731,1745.719971
11/23/19,1739.02002,1746.430054,1731,1745.719971
11/24/19,1739.02002,1746.430054,1731,1745.719971
11/25/19,1753.25,1777.420044,1753.23999,1773.839966
11/26/19,1779.920044,1797.030029,1778.349976,1796.939941
11/27/19,1801,1824.5,1797.310059,1818.51001
11/29/19,1817.780029,1824.689941,1800.790039,1800.800049
11/30/19,1817.780029,1824.689941,1800.790039,1800.800049
12/1/19,1817.780029,1824.689941,1800.790039,1800.800049
12/2/19,1804.400024,1805.550049,1762.680054,1781.599976
12/3/19,1760,1772.869995,1747.22998,1769.959961
12/4/19,1774.01001,1789.089966,1760.219971,1760.689941
12/5/19,1763.5,1763.5,1740,1740.47998
12/6/19,1751.199951,1754.400024,1740.130005,1751.599976
12/7/19,1751.199951,1754.400024,1740.130005,1751.599976
12/8/19,1751.199951,1754.400024,1740.130005,1751.599976
12/9/19,1750.660034,1766.890015,1745.609985,1749.51001
12/10/19,1747.400024,1750.670044,1735,1739.209961
12/11/19,1741.670044,1750,1735.709961,1748.719971
12/12/19,1750,1764,1745.439941,1760.329956
12/13/19,1765,1768.98999,1755,1760.939941
12/14/19,1765,1768.98999,1755,1760.939941
